entrada,pessoas,umidade,resposta
209,6,57.0,50.000000000000014
210,6,57.0,50.000000000000014
211,6,57.0,50.000000000000014
212,6,57.0,50.000000000000014
213,6,57.0,50.000000000000014
214,6,57.0,50.000000000000014
215,6,57.0,50.000000000000014
216,6,57.0,50.000000000000014
217,6,57.0,50.000000000000014
218,6,57.0,50.000000000000014
219,6,57.0,50.000000000000014
220,6,57.0,50.000000000000014
221,6,57.0,50.000000000000014
222,6,57.0,50.000000000000014
223,6,57.0,50.000000000000014
224,6,57.0,50.000000000000014
225,6,57.0,50.000000000000014
226,6,57.0,50.000000000000014
227,6,57.0,50.000000000000014
228,6,57.0,50.000000000000014
229,6,57.0,50.000000000000014
230,7,57.0,47.02667367069399
231,7,57.0,47.02667367069399
232,7,57.0,47.02667367069399
233,7,57.0,47.02667367069399
234,7,57.0,47.02667367069399
235,7,57.0,47.02667367069399
236,7,57.0,47.02667367069399
237,7,57.0,47.02667367069399
238,7,57.0,47.02667367069399
239,7,57.0,47.02667367069399
240,7,57.0,47.02667367069399
241,7,57.0,47.02667367069399
242,7,57.0,47.02667367069399
243,7,57.0,47.02667367069399
244,7,57.0,47.02667367069399
245,7,57.0,47.02667367069399
246,7,57.0,47.02667367069399
247,7,57.0,47.02667367069399
248,7,57.0,47.02667367069399
249,7,57.0,47.02667367069399
250,7,57.0,47.02667367069399
251,7,57.0,47.02667367069399
252,7,57.0,47.02667367069399
253,7,57.0,47.02667367069399
254,7,57.0,47.02667367069399
255,7,57.0,47.02667367069399
256,7,57.0,47.02667367069399
257,7,57.0,47.02667367069399
258,7,57.0,47.02667367069399
259,7,57.0,47.02667367069399
260,7,57.0,47.02667367069399
261,7,57.0,47.02667367069399
262,7,57.0,47.02667367069399
263,7,57.0,47.02667367069399
264,7,57.0,47.02667367069399
265,7,57.0,47.02667367069399
266,7,57.0,47.02667367069399
267,7,57.0,47.02667367069399
268,7,57.0,47.02667367069399
269,7,57.0,47.02667367069399
270,7,57.0,47.02667367069399
271,7,57.0,47.02667367069399
272,7,57.0,47.02667367069399
